ஃ x 
செலுத்திவிடலாம் sɛ̝lɨt̪t̪ɪʋɪ˞ɽʌlɑːm 
செலுத்திவிடும் sɛ̝lɨt̪t̪ɪʋɪ˞ɽɨm 
செலுத்திவிட்டு sɛ̝lɨt̪t̪ɪʋɪ˞ʈʈɨ 
செலுத்து sɛ̝lɨt̪t̪ɨ 
செலுத்துகின்ற sɛ̝lɨt̪t̪ɨçɪn̺d̺ʳə 
செலுத்துகின்றனர் sɛ̝lɨt̪t̪ɨçɪn̺d̺ʳʌn̺ʌr 
செலுத்துகிறது sɛ̝lɨt̪t̪ɨçɪɾʌðɨ 
செலுத்துகிறான் sɛ̝lɨt̪t̪ɨçɪɾɑːn̺ 
செலுத்துகிறார் sɛ̝lɨt̪t̪ɨçɪɾɑːr 
செலுத்துகிறோம் sɛ̝lɨt̪t̪ɨçɪɾoːm 
செலுத்துகிறோம்” sɛ̝lɨt̪t̪ɨçɪɾoːm” 
செலுத்துங்கள் sɛ̝lɨt̪t̪ɨŋgʌ˞ɭ 
செலுத்துபவராக sɛ̝lɨt̪t̪ɨβʌʋʌɾɑːxə 
செலுத்துபவர்களாக sɛ̝lɨt̪t̪ɨβʌʋʌrɣʌ˞ɭʼɑːxə 
செலுத்துமாறு sɛ̝lɨt̪t̪ɨmɑːɾɨ 
செலுத்தும் sɛ̝lɨt̪t̪ɨm 
செலுத்தும்போது sɛ̝lɨt̪t̪ɨmboːðɨ 
செலுத்துவதற்காக sɛ̝lɨt̪t̪ɨʋʌðʌrkɑːxə 
செலுத்துவதற்கு sɛ̝lɨt̪t̪ɨʋʌðʌrkɨ 
செலுத்துவதில் sɛ̝lɨt̪t̪ɨʋʌðɪl 
செலுத்துவது sɛ̝lɨt̪t̪ɨʋʌðɨ 
செலுத்துவோரும் sɛ̝lɨt̪t̪ɨʋeːˀɑːɾɨm 
செலுத்துவோம் sɛ̝lɨt̪t̪ɨʋoːm 
செலுத்துவோரில் sɛ̝lɨt̪t̪ɨʋoːɾɪl 
செலெரியோ sɛ̝lɛ̝ɾɪɪ̯oˑ 
செல் sɛ̝l 
செல்ஃப் sɛ̝lxp 
செல்களை sɛ̝lxʌ˞ɭʼʌɪ̯ 
செல்கள் sɛ̝lxʌ˞ɭ 
செல்கின்ற sɛ̝lgʲɪn̺d̺ʳə 
செல்கின்றன sɛ̝lgʲɪn̺d̺ʳʌn̺ə 
செல்கின்றனர் sɛ̝lgʲɪn̺d̺ʳʌn̺ʌr 
செல்கிறதா sɛ̝lgʲɪɾʌðɑː 
செல்கிறது sɛ̝lgʲɪɾʌðɨ 
செல்கிறதோ sɛ̝lgʲɪɾʌðoˑ 
செல்கிறான் sɛ̝lgʲɪɾɑːn̺ 
செல்கிறார் sɛ̝lgʲɪɾɑːr 
செல்கிறார்களா sɛ̝lgʲɪɾɑːrɣʌ˞ɭʼɑː 
செல்கிறார்கள் sɛ̝lgʲɪɾɑːrɣʌ˞ɭ 
செல்கிறார்கள் sɛ̝lgʲɪɾɑːrɣʌ˞ɭ 
செல்கிறார்” sɛ̝lgʲɪɾɑːr” 
செல்கிறாள் sɛ̝lgʲɪɾɑ˞ːɭ 
செல்கிறீர்கள் sɛ̝lgʲɪɾiːrɣʌ˞ɭ 
செல்கிறேன் sɛ̝lgʲɪɾeːn̺ 
செல்கிறேன் sɛ̝lgʲɪɾeːn̺ 
செல்கையில் sɛ̝lxʌjɪ̯ɪl 
செல்சியசுக்கு sɛ̝lsɪɪ̯ʌsɨkkɨ 
செல்சியஸ் sɛ̝lsɪɪ̯ʌs 
செல்தான் sɛ̝lðɑːn̺ 
செல்பவர்களுக்காக sɛ̝lβʌʋʌrɣʌ˞ɭʼɨkkɑːxə 
செல்பவர்களுக்கு sɛ̝lβʌʋʌrɣʌ˞ɭʼɨkkɨ 
செல்பவர்களும் sɛ̝lβʌʋʌrɣʌ˞ɭʼɨm 
செல்பவர்களைக்கூட sɛ̝lβʌʋʌrɣʌ˞ɭʼʌjccu˞ːɽə 
செல்பவர்களையும் sɛ̝lβʌʋʌrɣʌ˞ɭʼʌjɪ̯ɨm 
செல்பவர்கள் sɛ̝lβʌʋʌrɣʌ˞ɭ 
செல்பேசியின் sɛ̝lβeːsɪɪ̯ɪn̺ 
செல்பேசியை sɛ̝lβeːsɪɪ̯ʌɪ̯ 
செல்பேசியைப் sɛ̝lβeːsɪɪ̯ʌɪ̯p 
செல்போனா sɛ̝lβoːn̺ɑː 
செல்போனிலேயே sɛ̝lβoːn̺ɪleːɪ̯eˑ 
செல்போனில் sɛ̝lβoːn̺ɪl 
செல்போனுக்கு sɛ̝lβoːn̺ɨkkɨ 
செல்போனுடன் sɛ̝lβoːn̺ɨ˞ɽʌn̺ 
செல்போனை sɛ̝lβoːn̺ʌɪ̯ 
செல்போன் sɛ̝lβoːn̺ 
செல்போன்களில்தான் sɛ̝lβoːn̺gʌ˞ɭʼɪlðɑːn̺ 
செல்போன்களுக்கு sɛ̝lβoːn̺gʌ˞ɭʼɨkkɨ 
செல்போன்கள் sɛ̝lβoːn̺gʌ˞ɭ 
செல்போன்கள்தான் sɛ̝lβoːn̺gʌ˞ɭðɑːn̺ 
செல்ப் sɛ̝lp 
செல்ல sɛ̝llə 
செல்லக் sɛ̝llʌk 
செல்லக்கண்ணு sɛ̝llʌkkʌ˞ɳɳɨ 
செல்லக்குமார் sɛ̝llʌkkɨmɑːr 
செல்லக்கூடாது sɛ̝llʌkku˞ːɽɑːðɨ 
செல்லக்கூடிய sɛ̝llʌkku˞ːɽɪɪ̯ə 
செல்லக்கூடியதாகவும் sɛ̝llʌkku˞ːɽɪɪ̯ʌðɑːxʌʋʉ̩m 
செல்லக்கூடியது sɛ̝llʌkku˞ːɽɪɪ̯ʌðɨ 
செல்லக்கூடியவை sɛ̝llʌkku˞ːɽɪɪ̯ʌʋʌɪ̯ 
செல்லக்கூடும் sɛ̝llʌkku˞ːɽʊm 
செல்லச் sɛ̝llʌtʃ 
செல்லச்சாமி sɛ̝llʌtʃtʃɑːmɪˑ 
செல்லச்சாமியின் sɛ̝llʌtʃtʃɑːmɪɪ̯ɪn̺ 
செல்லத் sɛ̝llʌt̪ 
செல்லத்தொடங்கினேன் sɛ̝llʌt̪t̪o̞ɽʌŋʲgʲɪn̺eːn̺ 
செல்லபிள்ளைகுட்டை sɛ̝llʌβɪ˞ɭɭʌɪ̯xɨ˞ʈʈʌɪ̯ 
செல்லப் sɛ̝llʌp 
செல்லப்படவில்லை sɛ̝llʌppʌ˞ɽʌʋɪllʌɪ̯ 
செல்லப்படுகிறார்கள் sɛ̝llʌppʌ˞ɽɨçɪɾɑːrɣʌ˞ɭ 
செல்லப்படும் sɛ̝llʌppʌ˞ɽɨm 
செல்லப்படுவதாக sɛ̝llʌppʌ˞ɽɨʋʌðɑːxə 
செல்லப்படுவது sɛ̝llʌppʌ˞ɽɨʋʌðɨ 
செல்லப்பட்ட sɛ̝llʌppʌ˞ʈʈə 
செல்லப்பட்டதாக sɛ̝llʌppʌ˞ʈʈʌðɑːxə 
செல்லப்பட்டன sɛ̝llʌppʌ˞ʈʈʌn̺ə 
செல்லப்பட்டவைதான் sɛ̝llʌppʌ˞ʈʈʌʋʌɪ̯ðɑːn̺ 
செல்லப்பட்டார் sɛ̝llʌppʌ˞ʈʈɑːr 
செல்லப்பட்டிருந்தால் sɛ̝llʌppʌ˞ʈʈɪɾɨn̪d̪ɑːl 
செல்லப்பட்டிருந்தால்… sɛ̝llʌppʌ˞ʈʈɪɾɨn̪d̪ɑːl… 
செல்லப்பட்டு sɛ̝llʌppʌ˞ʈʈɨ 
செல்லப்பட்டுவிட்டன sɛ̝llʌppʌ˞ʈʈɨʋɪ˞ʈʈʌn̺ə 
செல்லப்பா sɛ̝llʌppɑː 
செல்லப்பாண்டியன் sɛ̝llʌppɑ˞ːɳɖɪɪ̯ʌn̺ 
செல்லப்பாவைச் sɛ̝llʌppɑːʋʌɪ̯tʃ 
செல்லமாக sɛ̝llʌmɑːxə 
செல்லமுடியாத sɛ̝llʌmʉ̩˞ɽɪɪ̯ɑːðə 
செல்லமுடியாமல் sɛ̝llʌmʉ̩˞ɽɪɪ̯ɑːmʌl 
செல்லமுத்து sɛ̝llʌmʉ̩t̪t̪ɨ 
செல்லமே sɛ̝llʌmeˑ 
செல்லலாம் sɛ̝llʌlɑːm 
செல்லவிடவில்லை sɛ̝llʌʋɪ˞ɽʌʋɪllʌɪ̯ 
செல்லவில்லை sɛ̝llʌʋɪllʌɪ̯ 
செல்லவும் sɛ̝llʌʋʉ̩m 
செல்லவேண்டிய sɛ̝llʌʋe˞ːɳɖɪɪ̯ə 
செல்லவேண்டும் sɛ̝llʌʋe˞ːɳɖɨm 
செல்லாத sɛ̝llɑːðə 
செல்லாததாகிவிடும் sɛ̝llɑːðʌðɑːçɪʋɪ˞ɽɨm 
செல்லாதது sɛ̝llɑːðʌðɨ 
செல்லாது sɛ̝llɑːðɨ 
செல்லாமல் sɛ̝llɑːmʌl 
செல்லிடப்பேசி sɛ̝llɪ˞ɽʌppeːsɪˑ 
செல்லிடப்பேசியில் sɛ̝llɪ˞ɽʌppeːsɪɪ̯ɪl 
செல்லிடம் sɛ̝llɪ˞ɽʌm 
செல்லுங்கள் sɛ̝llɨŋgʌ˞ɭ 
செல்லுதல் sɛ̝llɨðʌl 
செல்லுபடி sɛ̝llɨβʌ˞ɽɪˑ 
செல்லுபடியாகும் sɛ̝llɨβʌ˞ɽɪɪ̯ɑːxɨm 
செல்லுபவர்களுக்கு sɛ̝llɨβʌʋʌrɣʌ˞ɭʼɨkkɨ 
செல்லுமா sɛ̝llɨmɑː 
செல்லும் sɛ̝llɨm 
செல்லும்படி sɛ̝llɨmbʌ˞ɽɪˑ 
செல்லும்பொழுது sɛ̝llɨmbo̞ɻɨðɨ 
செல்லும்போது sɛ̝llɨmboːðɨ 
செல்லும்போதெல்லாம் sɛ̝llɨmboːðɛ̝llɑːm 
செல்லும்போதே sɛ̝llɨmboːðeˑ 
செல்லூர் sɛ̝lluːr 
செல்லோ sɛ̝lloˑ 
செல்வ sɛ̝lʋə 
செல்வகணபதி sɛ̝lʋʌxʌ˞ɳʼʌβʌðɪˑ 
செல்வகுமாரை sɛ̝lʋʌxɨmɑːɾʌɪ̯ 
செல்வச் sɛ̝lʋʌtʃ 
செல்வதன் sɛ̝lʋʌðʌn̺ 
செல்வதற்காக sɛ̝lʋʌðʌrkɑːxə 
செல்வதற்கான sɛ̝lʋʌðʌrkɑːn̺ə 
செல்வதற்கு sɛ̝lʋʌðʌrkɨ 
செல்வதற்குக் sɛ̝lʋʌðʌrkɨk 
செல்வதற்குத்தான் sɛ̝lʋʌðʌrkɨt̪t̪ɑːn̺ 
செல்வதற்குரிய sɛ̝lʋʌðʌrkɨɾɪɪ̯ə 
செல்வதற்கேற்ற sɛ̝lʋʌðʌrkeːt̺t̺ʳə 
செல்வதாகத்தான் sɛ̝lʋʌðɑːxʌt̪t̪ɑːn̺ 
செல்வதாயிருந்தாலும் sɛ̝lʋʌðɑːɪ̯ɪɾɨn̪d̪ɑːlɨm 
செல்வதால் sɛ̝lʋʌðɑːl 
செல்வதில் sɛ̝lʋʌðɪl 
செல்வதில்லை sɛ̝lʋʌðɪllʌɪ̯ 
செல்வது sɛ̝lʋʌðɨ 
செல்வதுண்டு sɛ̝lʋʌðɨ˞ɳɖɨ 
செல்வதுதான் sɛ̝lʋʌðɨðɑːn̺ 
செல்வதும் sɛ̝lʋʌðɨm 
செல்வதென sɛ̝lʋʌðɛ̝n̺ə 
செல்வதே sɛ̝lʋʌðeˑ 
செல்வதை sɛ̝lʋʌðʌɪ̯ 
செல்வதைக் sɛ̝lʋʌðʌɪ̯k 
செல்வதைத் sɛ̝lʋʌðʌɪ̯t̪ 
செல்வதைப் sɛ̝lʋʌðʌɪ̯p 
செல்வதைப்போல sɛ̝lʋʌðʌɪ̯ppoːlə 
செல்வதையோ sɛ̝lʋʌðʌjɪ̯oˑ 
செல்வதைவிடவும் sɛ̝lʋʌðʌɪ̯ʋɪ˞ɽʌʋʉ̩m 
செல்வத்தின் sɛ̝lʋʌt̪t̪ɪn̺ 
செல்வந்தர் sɛ̝lʋʌn̪d̪ʌr 
செல்வன் sɛ̝lʋʌn̺ 
செல்வபெருந்தகை sɛ̝lʋʌβɛ̝ɾɨn̪d̪ʌxʌɪ̯ 
செல்வமகள் sɛ̝lʋʌmʌxʌ˞ɭ 
செல்வமணி sɛ̝lʋʌmʌ˞ɳʼɪˑ 
செல்வமோகன்தாஸ் sɛ̝lʋʌmoːxʌn̪d̪ɑːs 
செல்வம் sɛ̝lʋʌm 
செல்வராசு sɛ̝lʋʌɾɑːsɨ 
செல்வராஜூக்கு sɛ̝lʋʌɾɑːdʒuːkkɨ 
செல்வராஜ் sɛ̝lʋʌɾɑːdʒ 
செல்வர் sɛ̝lʋʌr 
செல்வாக்கினால் sɛ̝lʋɑːkkʲɪn̺ɑːl 
செல்வாக்கின் sɛ̝lʋɑːkkʲɪn̺ 
செல்வாக்கிலேயே sɛ̝lʋɑːkkʲɪleːɪ̯eˑ 
செல்வாக்கில் sɛ̝lʋɑːkkʲɪl 
செல்வாக்கு sɛ̝lʋɑːkkɨ 
செல்வாக்குப் sɛ̝lʋɑːkkɨp 
செல்வாக்கும் sɛ̝lʋɑːkkɨm 
செல்வாக்கை sɛ̝lʋɑːkkʌɪ̯ 
செல்வாக்கையும் sɛ̝lʋɑːkkʌjɪ̯ɨm 
செல்வாக்வான sɛ̝lʋɑːkʋɑːn̺ə 
செல்வான் sɛ̝lʋɑːn̺ 
செல்வாரா sɛ̝lʋɑːɾɑː 
செல்வார் sɛ̝lʋɑːr 
செல்வார்கள் sɛ̝lʋɑːrɣʌ˞ɭ 
செல்வி sɛ̝lʋɪˑ 
செல்வியும் sɛ̝lʋɪɪ̯ɨm 
செல்வேன் sɛ̝lʋeːn̺ 
செல்வோமே sɛ̝lʋoːmeˑ 
செல்வோம் sɛ̝lʋoːm 
செல்வோரில் sɛ̝lʋoːɾɪl 
செல்வோர் sɛ̝lʋoːr 
செளபாக்கியா sɛ̝ɭʼʌβɑːkkʲɪɪ̯ɑː 
செழிக்க sɛ̝ɻɪkkə 
செழிக்கிறது sɛ̝ɻɪkkʲɪɾʌðɨ 
செழித்திட sɛ̝ɻɪt̪t̪ɪ˞ɽə 
செழிப்பாக sɛ̝ɻɪppɑːxə 
செழிப்பான sɛ̝ɻɪppɑːn̺ə 
செவத்தலிங்கம் sɛ̝ʋʌt̪t̪ʌlɪŋgʌm 
செவன்டி sɛ̝ʋʌn̺ʈɪˑ 
செவர்லே sɛ̝ʋʌrleˑ 
செவாலியரின் sɛ̝ʋɑːlɪɪ̯ʌɾɪn̺ 
செவிகளில் sɛ̝ʋɪxʌ˞ɭʼɪl 
செவிலியராக sɛ̝ʋɪlɪɪ̯ʌɾɑːxə 
செவிலியரில் sɛ̝ʋɪlɪɪ̯ʌɾɪl 
செவிலியர் sɛ̝ʋɪlɪɪ̯ʌr 
செவிலியர்களை sɛ̝ʋɪlɪɪ̯ʌrɣʌ˞ɭʼʌɪ̯ 
செவிலியர்மீது sɛ̝ʋɪlɪɪ̯ʌrmiːðɨ 
செவ்ரோலெட் sɛ̝ʋroːlɛ̝ʈ 
செவ்ரோலெட்டைத்தான் sɛ̝ʋroːlɛ̝ʈʈʌɪ̯t̪t̪ɑːn̺ 
செவ்வனே sɛ̝ʊ̯ʋʌn̺eˑ 
செவ்வாய்க் sɛ̝ʊ̯ʋɑːɪ̯k 
செவ்வாய்க்கிழமை sɛ̝ʊ̯ʋɑːjccɪ˞ɻʌmʌɪ̯ 
செவ்வாய்க்கிழமைகளில் sɛ̝ʊ̯ʋɑːjccɪ˞ɻʌmʌɪ̯xʌ˞ɭʼɪl 
செவ்வாய்க்கிழமையன்று sɛ̝ʊ̯ʋɑːjccɪ˞ɻʌmʌjɪ̯ʌn̺d̺ʳɨ 
செவ்வாய்க்கிழமையும் sɛ̝ʊ̯ʋɑːjccɪ˞ɻʌmʌjɪ̯ɨm 
செவ்வாய்பேட்டை sɛ̝ʊ̯ʋɑːɪ̯βe˞ːʈʈʌɪ̯ 
செஷல்ஸ் sɛ̝ʂʌls 
செஸ் sɛ̝s 
செஸ்ட் sɛ̝sʈ 
செஸ்﻿ sɛ̝s﻿ 
சொத்துரிமை sɛ̝ˀɑːt̪t̪ɨɾɪmʌɪ̯ 
சொத்துரிமைக்கு sɛ̝ˀɑːt̪t̪ɨɾɪmʌjccɨ 
சொத்துரிமையில் sɛ̝ˀɑːt̪t̪ɨɾɪmʌjɪ̯ɪl 
சொல் sɛ̝ˀɑːl 
சேஃப்டி seːxpʈɪˑ 
சேகரிக்க seːxʌɾɪkkə 
சேகரிக்கப்பட்ட seːxʌɾɪkkʌppʌ˞ʈʈə 
சேகரிக்கப்பட்டு seːxʌɾɪkkʌppʌ˞ʈʈɨ 
சேகரிக்கிறார்கள் seːxʌɾɪkkʲɪɾɑːrɣʌ˞ɭ 
சேகரிக்கும் seːxʌɾɪkkɨm 
சேகரித்தபடி seːxʌɾɪt̪t̪ʌβʌ˞ɽɪˑ 
சேகரித்தல் seːxʌɾɪt̪t̪ʌl 
சேகரித்தார் seːxʌɾɪt̪t̪ɑːr 
சேகரித்து seːxʌɾɪt̪t̪ɨ 
சேகரித்தேன் seːxʌɾɪt̪t̪eːn̺ 
சேகரிப்புகளை seːxʌɾɪppʉ̩xʌ˞ɭʼʌɪ̯ 
சேகருக்கு seːxʌɾɨkkɨ 
சேகர் seːxʌr 
சேகர்பாபு seːxʌrβɑːβʉ̩ 
சேசிஸ் seːsɪs 
சேசையா seːsʌjɪ̯ɑː 
சேடக் se˞ːɽʌk 
சேட்டு se˞ːʈʈɨ 
சேட்டைகளைச் se˞ːʈʈʌɪ̯xʌ˞ɭʼʌɪ̯tʃ 
சேத seːðə 
சேதங்களை seːðʌŋgʌ˞ɭʼʌɪ̯ 
சேதங்கள் seːðʌŋgʌ˞ɭ 
சேதத்திற்கு seːðʌt̪t̪ɪrkɨ 
சேதத்துக்கு seːðʌt̪t̪ɨkkɨ 
சேதத்தை seːðʌt̪t̪ʌɪ̯ 
சேதத்தைத் seːðʌt̪t̪ʌɪ̯t̪ 
சேதன் seːðʌn̺ 
சேதப்படுத்துவதோ seːðʌppʌ˞ɽɨt̪t̪ɨʋʌðoˑ 
சேதமடைந்த seːðʌmʌ˞ɽʌɪ̯n̪d̪ə 
சேதமடைந்தது seːðʌmʌ˞ɽʌɪ̯n̪d̪ʌðɨ 
சேதமடைந்தன seːðʌmʌ˞ɽʌɪ̯n̪d̪ʌn̺ə 
சேதமடைந்திருந்தால் seːðʌmʌ˞ɽʌɪ̯n̪d̪ɪɾɨn̪d̪ɑːl 
சேதமடைந்து seːðʌmʌ˞ɽʌɪ̯n̪d̪ɨ 
சேதமடைந்துள்ளன seːðʌmʌ˞ɽʌɪ̯n̪d̪ɨ˞ɭɭʌn̺ə 
சேதமடைய seːðʌmʌ˞ɽʌjɪ̯ə 
சேதமடைவது seːðʌmʌ˞ɽʌɪ̯ʋʌðɨ 
சேதமானால் seːðʌmɑːn̺ɑːl 
சேதமாவதைத் seːðʌmɑːʋʌðʌɪ̯t̪ 
சேதமும் seːðʌmʉ̩m 
சேதமோ seːðʌmoˑ 
சேதம் seːðʌm 
சேதாரத்துக்கான seːðɑːɾʌt̪t̪ɨkkɑːn̺ə 
சேதாரம் seːðɑːɾʌm 
சேது seːðɨ 
சேதுபதி seːðɨβʌðɪˑ 
சேதுபதிக்கும் seːðɨβʌðɪkkɨm 
சேதுபதியின் seːðɨβʌðɪɪ̯ɪn̺ 
சேதுராமன் seːðɨɾɑːmʌn̺ 
சேத் seːt̪ 
சேத்தியாத்தோப்பு seːt̪t̪ɪɪ̯ɑːt̪t̪oːppʉ̩ 
சேத்துப்பட்டு seːt̪t̪ɨppʌ˞ʈʈɨ 
சேந்தமங்கலத்தில் seːn̪d̪ʌmʌŋgʌlʌt̪t̪ɪl 
சேந்தமங்கலம் seːn̪d̪ʌmʌŋgʌlʌm 
சேனல் seːn̺ʌl 
சேனல்கள் seːn̺ʌlxʌ˞ɭ 
சேன் seːn̺ 
சேப்பாக்கத்தில் seːppɑːkkʌt̪t̪ɪl 
சேப்பாக்கம் seːppɑːkkʌm 
சேப்பாக்கம்திருவல்லிக்கேணி seːppɑːkkʌmt̪ɪɾɨʋʌllɪkke˞ːɳʼɪˑ 
சேமிக்க seːmɪkkə 
சேமிக்கக்கூடிய seːmɪkkʌkku˞ːɽɪɪ̯ə 
சேமிக்கப்படுகிறது seːmɪkkʌppʌ˞ɽɨçɪɾʌðɨ 
சேமிக்கப்பட்டுள்ளது seːmɪkkʌppʌ˞ʈʈɨ˞ɭɭʌðɨ 
சேமிக்கலாம் seːmɪkkʌlɑːm 
சேமிக்கவும் seːmɪkkʌʋʉ̩m 
சேமிக்கிறார்கள் seːmɪkkʲɪɾɑːrɣʌ˞ɭ 
சேமிக்கும் seːmɪkkɨm 
சேமித்து seːmɪt̪t̪ɨ 
சேமித்துள்ளதாகக் seːmɪt̪t̪ɨ˞ɭɭʌðɑːxʌk 
சேமிப்பது seːmɪppʌðɨ 
சேமிப்பாக seːmɪppɑːxə 
சேமிப்பாகக் seːmɪppɑːxʌk 
சேமிப்பாகும் seːmɪppɑːxɨm 
சேமிப்பில் seːmɪppɪl 
சேமிப்பு seːmɪppʉ̩ 
சேமிப்புக் seːmɪppʉ̩k 
சேமிப்புக்கிடங்கு seːmɪppʉ̩kkʲɪ˞ɽʌŋgɨ 
சேமிப்புக்கு seːmɪppʉ̩kkɨ 
சேமிப்புத் seːmɪppʉ̩t̪ 
சேமிப்புத்திட்டம் seːmɪppʉ̩t̪t̪ɪ˞ʈʈʌm 
சேமிப்பே seːmɪppeˑ 
சேமிப்பை seːmɪppʌɪ̯ 
சேம்சனுக்கு seːmtʃʌn̺ɨkkɨ 
சேம்சன் seːmtʃʌn̺ 
சேம்பரில் seːmbʌɾɪl 
சேர seːɾə 
சேரக்கூடாது seːɾʌkku˞ːɽɑːðɨ 
சேரச்சேர seːɾʌtʃtʃeːɾə 
சேரட்டும் seːɾʌ˞ʈʈɨm 
சேரப்போகிறது seːɾʌppoːçɪɾʌðɨ 
சேரமாட்டோம் seːɾʌmɑ˞ːʈʈoːm 
சேரலாம் seːɾʌlɑːm 
சேரவில்லை seːɾʌʋɪllʌɪ̯ 
சேரவேண்டும் seːɾʌʋe˞ːɳɖɨm 
சேராத seːɾɑːðə 
சேராதவர்கள் seːɾɑːðʌʋʌrɣʌ˞ɭ 
சேராது seːɾɑːðɨ 
சேராமல் seːɾɑːmʌl 
சேரிகள் seːɾɪxʌ˞ɭ 
சேரின் seːɾɪn̺ 
சேருகின்றன seːɾɨçɪn̺d̺ʳʌn̺ə 
சேருகிறான் seːɾɨçɪɾɑːn̺ 
சேருகிறார்கள் seːɾɨçɪɾɑːrɣʌ˞ɭ 
சேருமாறு seːɾɨmɑːɾɨ 
சேருமிடத்தில் seːɾɨmɪ˞ɽʌt̪t̪ɪl 
சேரும் seːɾɨm 
சேரும்படி seːɾɨmbʌ˞ɽɪˑ 
சேரும்போது seːɾɨmboːðɨ 
சேருவதற்கான seːɾɨʋʌðʌrkɑːn̺ə 
சேருவதற்கு seːɾɨʋʌðʌrkɨ 
சேருவதாக seːɾɨʋʌðɑːxə 
சேருவதில் seːɾɨʋʌðɪl 
சேருவது seːɾɨʋʌðɨ 
சேருவீர்களா seːɾɨʋiːrɣʌ˞ɭʼɑː 
சேர் seːr 
சேர்கின்றனர் seːrgʲɪn̺d̺ʳʌn̺ʌr 
சேர்கிறார்கள் seːrgʲɪɾɑːrɣʌ˞ɭ 
சேர்க்க seːrkkə 
சேர்க்கணும் seːrkkʌ˞ɳʼɨm 
சேர்க்கப்படுகிறான் seːrkkʌppʌ˞ɽɨçɪɾɑːn̺ 
சேர்க்கப்படுகிறாளாம் seːrkkʌppʌ˞ɽɨçɪɾɑ˞ːɭʼɑːm 
சேர்க்கப்படுகிறாள் seːrkkʌppʌ˞ɽɨçɪɾɑ˞ːɭ 
சேர்க்கப்படும் seːrkkʌppʌ˞ɽɨm 
சேர்க்கப்படுவதால் seːrkkʌppʌ˞ɽɨʋʌðɑːl 
சேர்க்கப்படுவார்கள் seːrkkʌppʌ˞ɽɨʋɑːrɣʌ˞ɭ 
சேர்க்கப்பட்ட seːrkkʌppʌ˞ʈʈə 
சேர்க்கப்பட்டிருக்க seːrkkʌppʌ˞ʈʈɪɾɨkkə 
சேர்க்கப்பட்டிருக்கிறது seːrkkʌppʌ˞ʈʈɪɾɨkkʲɪɾʌðɨ 
சேர்க்கப்பட்டு seːrkkʌppʌ˞ʈʈɨ 
சேர்க்கப்பட்டுள்ளது seːrkkʌppʌ˞ʈʈɨ˞ɭɭʌðɨ 
சேர்க்கப்பட்டுள்ளன seːrkkʌppʌ˞ʈʈɨ˞ɭɭʌn̺ə 
சேர்க்கப்பட்டுள்ளனர் seːrkkʌppʌ˞ʈʈɨ˞ɭɭʌn̺ʌr 
சேர்க்கலாம் seːrkkʌlɑːm 
சேர்க்கவில்லை seːrkkʌʋɪllʌɪ̯ 
சேர்க்கவும் seːrkkʌʋʉ̩m 
சேர்க்காததால் seːrkkɑːðʌðɑːl 
சேர்க்காதவர்கள் seːrkkɑːðʌʋʌrɣʌ˞ɭ 
சேர்க்காமல் seːrkkɑːmʌl 
சேர்க்கிறது seːrkkʲɪɾʌðɨ 
சேர்க்கிறார் seːrkkʲɪɾɑːr 
சேர்க்கிறார்கள் seːrkkʲɪɾɑːrɣʌ˞ɭ 
சேர்க்கும் seːrkkɨm 
சேர்க்கை seːrkkʌɪ̯ 
சேர்க்கைக்காக seːrkkʌjccɑːxə 
சேர்திருக்கிறதா seːrðɪɾɨkkʲɪɾʌðɑː 
சேர்த்த seːrt̪t̪ə 
சேர்த்தனர் seːrt̪t̪ʌn̺ʌr 
சேர்த்தாரா seːrt̪t̪ɑːɾɑː 
சேர்த்தார் seːrt̪t̪ɑːr 
சேர்த்தால் seːrt̪t̪ɑːl 
சேர்த்திருக்கிறது seːrt̪t̪ɪɾɨkkʲɪɾʌðɨ 
சேர்த்திருக்கும் seːrt̪t̪ɪɾɨkkɨm 
சேர்த்திருப்பதாக seːrt̪t̪ɪɾɨppʌðɑːxə 
சேர்த்து seːrt̪t̪ɨ 
சேர்த்துக் seːrt̪t̪ɨk 
சேர்த்துக்கொள்ள seːrt̪t̪ɨkko̞ɭɭə 
சேர்த்தும் seːrt̪t̪ɨm 
சேர்த்துள்ளதால் seːrt̪t̪ɨ˞ɭɭʌðɑːl 
சேர்த்துள்ளோம் seːrt̪t̪ɨ˞ɭɭoːm 
சேர்த்துவிடும் seːrt̪t̪ɨʋɪ˞ɽɨm 
சேர்த்துவிடுவோம் seːrt̪t̪ɨʋɪ˞ɽɨʋoːm 
சேர்த்தே seːrt̪t̪eˑ 
சேர்ந் seːrn̺ 
சேர்ந்த seːrn̪d̪ə 
சேர்ந்ததற்கு seːrn̪d̪ʌðʌrkɨ 
சேர்ந்தது seːrn̪d̪ʌðɨ 
சேர்ந்ததுதான் seːrn̪d̪ʌðɨðɑːn̺ 
சேர்ந்தனர் seːrn̪d̪ʌn̺ʌr 
சேர்ந்தவன் seːrn̪d̪ʌʋʌn̺ 
சேர்ந்தவரா seːrn̪d̪ʌʋʌɾɑː 
சேர்ந்தவராக seːrn̪d̪ʌʋʌɾɑːxə 
சேர்ந்தவருமான seːrn̪d̪ʌʋʌɾɨmɑːn̺ə 
சேர்ந்தவர் seːrn̪d̪ʌʋʌr 
